bias_type,BERT_similarity_count,BERT_similarity_mean,BERT_similarity_std,BERT_similarity_min,BERT_similarity_25%,BERT_similarity_50%,BERT_similarity_75%,BERT_similarity_max,LSA_similarity_count,LSA_similarity_mean,LSA_similarity_std,LSA_similarity_min,LSA_similarity_25%,LSA_similarity_50%,LSA_similarity_75%,LSA_similarity_max,LDA_similarity_count,LDA_similarity_mean,LDA_similarity_std,LDA_similarity_min,LDA_similarity_25%,LDA_similarity_50%,LDA_similarity_75%,LDA_similarity_max
age,1128.0,0.9367775140780141,0.028029256134258124,0.7286794,0.924064915,0.941493725,0.9555716249999999,0.9867575,1128.0,0.6929711072017787,0.14851144523225437,0.2384086987856783,0.5905522337597771,0.7159536535060069,0.8046759435236102,0.9749642310190764,1128.0,0.709632383565873,0.22382667631082184,0.0016276016780983,0.5782528485623333,0.7609483460948836,0.891996862728973,0.9947116925012244
disability,1004.0,0.9272679242729084,0.028342385848773605,0.78627676,0.91067385,0.93130371,0.9471819499999999,0.9863198,1004.0,0.742795305822611,0.13539896697393397,0.2793644859447744,0.6522287554715975,0.7593701586794002,0.8499395649097933,0.9903655348610124,1004.0,0.6630284101264384,0.23575833029633453,0.0009373175851901,0.5045530164683683,0.6985188224893978,0.8606034117753767,0.996811526218205
gender,1372.0,0.9328137127405247,0.032491704154975896,0.7532235,0.9183481600000001,0.9397846750000001,0.9548467700000001,0.99143875,1372.0,0.7076692951203903,0.1521087294828009,0.1759527416368143,0.6048574205984464,0.7275313968137139,0.8222611771237662,0.9875494971101512,1372.0,0.7533721958855636,0.2044336853287173,0.0366306289335839,0.6503355108510271,0.8053003359948748,0.9161419424059359,0.9999828231829808
nationality,1280.0,0.9237627844375002,0.03411336037465766,0.7174317,0.90810455,0.93090484,0.9468232225,0.98819184,1280.0,0.7974695615304179,0.12432752949538455,0.3399228797425745,0.7257728187401231,0.8272994333850645,0.8934196010424293,0.9832676468978324,1280.0,0.7688393031362915,0.20703613825664502,0.025728341901756,0.6573709382930355,0.8335037969204233,0.9317513560019124,0.9999978227617128
physical-appearance,1020.0,0.9382429837843137,0.028286519010570003,0.69457924,0.9273550500000001,0.9439342850000001,0.9564305,0.9872491,1020.0,0.7884068514001324,0.12087462549049345,0.2833037409373614,0.7285977631065126,0.8137503157760965,0.8785542908216479,0.984752186605853,1020.0,0.7950488328293348,0.2045115963082682,0.0015868318627255,0.7020769476244291,0.8670690496984321,0.9482861176014774,0.9999999988503474
race-color,1448.0,0.9294675316298343,0.03588813700344401,0.6190729,0.91454245,0.9371877900000001,0.9540859725,0.9846879,1448.0,0.7478297962929147,0.13149314101937623,0.240862730730211,0.6643921153334877,0.7635221298049305,0.8514094969889533,0.9946048470177664,1448.0,0.7227599176630823,0.22628705646518563,0.0019431188733433,0.5844948074596319,0.7854162100822402,0.9093990733302333,0.999890057295855
religion,1182.0,0.9250077579357022,0.030295754303600438,0.7865993,0.9082844,0.9296092300000001,0.946732805,0.98280406,1182.0,0.6930476128305229,0.14175666220667324,0.182340319810136,0.5986905731586613,0.7054552656806496,0.7990840788431691,0.9763196227782336,1182.0,0.771048347057638,0.22456320486660347,0.0238630466621127,0.6563713770321905,0.849939699979758,0.9467830862751818,0.999999995770447
sexual-orientation,1116.0,0.9368315413709677,0.02694055027328681,0.7931914,0.922690965,0.94162115,0.9555563225,0.9892855,1116.0,0.7478018427012939,0.12208021845972207,0.3676708488717157,0.6644589529127023,0.7603178638631658,0.8420387545841922,0.9742082647487944,1116.0,0.7320544154723377,0.21341073000101712,0.0010144045712465,0.6070157172306166,0.7855026813652266,0.8997923965690714,0.9976987663083668
socioeconomic,1300.0,0.9247020230923078,0.03065618493116782,0.73581123,0.9095944475,0.930078655,0.9447196,0.9951565,1300.0,0.7397257879827517,0.12963555328062437,0.2508807507103956,0.6599276342944868,0.7487714689990977,0.837577904566219,0.978211212680556,1300.0,0.6910540144382488,0.23555384718844447,0.0010163580075916,0.5333561931159351,0.7452861667382709,0.8837387192403218,0.9999225648750354
