block_idx,rows,bias_type,stop_at,final_entropy,entropy_curve
16,300-319,race-color,13,5.834672601614924,"[4.477177619613196, 4.969212110601139, 5.233110429895193, 5.427853183462105, 5.597093363632849, 5.7537588322286215, 5.780790050127125, 5.745568040598332, 5.7497646465272885, 5.796039486648012, 5.784296620275021, 5.779635440276168, 5.795726343831529, 5.837456725165922, 5.846541190786769, 5.816008879547492, 5.845364028363032, 5.834998784355868, 5.811280987976696, 5.834672601614924]"
17,320-339,race-color,11,6.240691462370254,"[4.366298967782153, 5.016985116692555, 5.415421860582058, 5.649103908645841, 5.767901778248213, 6.043693659847925, 5.947195961722496, 6.000694301479889, 5.963244466127454, 5.972410902433372, 5.940257225614975, 6.034309566782786, 6.002512612320256, 6.026787329628018, 6.079116515120789, 6.11930909924442, 6.145831697251954, 6.1268384891121475, 6.178610570103068, 6.240691462370254]"
18,340-359,race-color,12,6.381075678908143,"[5.0072082393096204, 5.377376936940691, 5.764113724947741, 5.843086203527499, 5.990092566980715, 6.097561144889786, 6.18168393072914, 6.281004947956157, 6.350693023797239, 6.3485477657064715, 6.284824069472915, 6.294063798863088, 6.321060361162308, 6.329521596256421, 6.3533365741316, 6.3458371120150705, 6.358243832406335, 6.355194600360362, 6.342375774054807, 6.381075678908143]"
19,360-379,race-color,11,5.755483453197118,"[4.851197659639878, 4.991417045119937, 4.961674577901538, 5.1276773282562, 5.423483341478501, 5.454505461782272, 5.49164923902065, 5.56345662905823, 5.571293719805072, 5.545907434951067, 5.544215103019944, 5.63590830799523, 5.5991508859287125, 5.585718081933883, 5.638915089965282, 5.693680461063754, 5.715579617701807, 5.751796685042355, 5.763276783260355, 5.755483453197118]"
20,380-399,race-color,19,6.172775836251711,"[4.019418767758224, 4.816815757968143, 4.8398947295136185, 5.2975470387661785, 5.3916616589121675, 5.645650262703633, 5.788164722307863, 5.852512421378473, 5.869743441878126, 5.973558508202625, 6.026353567151484, 6.065405154862954, 6.070907197021165, 6.098544780061551, 6.109339059249473, 6.162571388344759, 6.1563498651904665, 6.161421069297452, 6.161029087583246, 6.172775836251711]"
21,400-419,race-color,-1,5.991427116338793,"[4.606298888701354, 5.0884536651065755, 5.284560833452236, 5.470297083056497, 5.392182406151707, 5.365252481880485, 5.417678098069777, 5.4558403805759, 5.4917703339295985, 5.5526038963012505, 5.529204491746321, 5.6333367801755205, 5.684022063198151, 5.803818166826085, 5.86640113328571, 5.9070491700541945, 5.907044648285017, 5.905410334634751, 5.953060038512845, 5.991427116338793]"
22,420-439,race-color,12,6.244164673542985,"[4.871140863287396, 5.30636103330055, 5.630403483266429, 5.685468201899832, 5.837377431601573, 5.909439674878103, 5.809474360399452, 5.949147800915842, 6.036899480984201, 6.053148012737646, 6.028792252664294, 6.0184221303545655, 6.098086188276502, 6.064249253374833, 6.132087784200279, 6.199273140221666, 6.255959620894773, 6.288779724164204, 6.259942562673798, 6.244164673542985]"
23,440-459,race-color,13,5.6772145318558245,"[4.1569645431325775, 4.8118338599196555, 5.100514275883212, 5.264093459319745, 5.346967591944111, 5.538532590529961, 5.565574298059763, 5.558579746625822, 5.613358083193598, 5.65884489562872, 5.674467728658566, 5.642986255354364, 5.651792441173737, 5.647793168407328, 5.662318896745467, 5.724970234832417, 5.712319095174295, 5.709260313280089, 5.692455390296143, 5.6772145318558245]"
24,460-479,race-color,12,5.731316909690992,"[4.446219622792855, 4.700842200277801, 4.888970458363782, 5.248580862713239, 5.287151418643323, 5.4770492557531645, 5.566086283042551, 5.568623763176032, 5.665292722394945, 5.66994054745956, 5.688250332078692, 5.694542930565167, 5.680578848511052, 5.7065408579370684, 5.6889486302964, 5.71171341698865, 5.681533677664559, 5.687260407369158, 5.723932613296426, 5.731316909690992]"
25,480-499,disability,-1,6.210050842807158,"[4.931309374917303, 5.249355610277629, 5.4718845059148755, 5.62514544165429, 5.663598242222862, 5.835285758650862, 5.888027677584324, 5.934087665188095, 5.911910226321266, 5.919386887499315, 5.97725156568523, 6.048604087155499, 6.077750943416897, 6.140535000759693, 6.1739199496167485, 6.17532392206651, 6.164632074592753, 6.198290711711902, 6.23281542520012, 6.210050842807158]"
26,500-519,disability,18,6.176624166968694,"[4.976907626008736, 5.307323780543283, 5.467158189456355, 5.544822614161531, 5.608108194370014, 5.633476411760712, 5.734605925156985, 5.856733477330373, 6.04303628996888, 6.035160367655389, 6.080319831398803, 6.064969431543482, 6.0908938848356, 6.128147171763466, 6.172394746356626, 6.154705629056079, 6.137576463407836, 6.133004692226159, 6.154244985894598, 6.176624166968694]"
27,520-539,disability,20,5.564344603701139,"[4.580148281356701, 4.949991324895862, 5.167798164268874, 5.149232963006491, 5.3183919209692485, 5.285629633836314, 5.30152080451223, 5.334223180893503, 5.347477084667206, 5.422205970006629, 5.474659983788704, 5.489308319688965, 5.440774778464933, 5.5422562107441244, 5.5470352759420205, 5.560153437454464, 5.6156370263408055, 5.59670317408512, 5.582485161139685, 5.564344603701139]"
28,540-559,disability,19,5.839275636617041,"[4.7663781546098525, 5.207998317846579, 5.467138589935131, 5.512964809719595, 5.578333602604414, 5.605140589157132, 5.5730741436838995, 5.675357468921315, 5.668970961657847, 5.680232969869518, 5.739200094480296, 5.737819820867928, 5.7285576169974854, 5.792432589867868, 5.817896814236027, 5.860616421296914, 5.866285227447371, 5.863544354164051, 5.854191198375253, 5.839275636617041]"
