block_idx,rows,bias_type,stop_at,final_entropy,entropy_curve
1520,30380-30399,race-color,12,5.090174420488065,"[3.8111227973929624, 4.095267792849744, 4.100236679030336, 4.157190566084304, 4.190821743493052, 4.85478825583195, 5.01308337092167, 5.0734628228397245, 5.231588211221211, 5.2399772354917795, 5.212106429563775, 5.184088039890832, 5.15418518748672, 5.119541132030867, 5.131610519955033, 5.085868290021871, 5.082949359276426, 5.0894196917167545, 5.095097603496385, 5.090174420488065]"
1521,30400-30419,race-color,16,5.035457125445856,"[3.9711408632873955, 3.785478839993313, 3.9646466934252955, 4.1067300476516015, 4.055901354907308, 4.502461477153717, 4.683129248688909, 4.801280021039271, 4.780725662031245, 4.841197454537334, 4.8772756550699565, 4.892788080120093, 4.924547126889541, 4.935656764973412, 4.951729710583609, 4.96581317180961, 4.988651712261667, 4.98606352366003, 5.000485408486519, 5.035457125445856]"
1522,30420-30439,race-color,15,4.9843955711662025,"[4.580148281356701, 4.496188593244563, 4.597295229350071, 4.634691768835454, 4.664709356627007, 4.82681542609991, 4.827668090802041, 4.84903920273952, 4.822212447276142, 4.875503624077279, 4.895221448746479, 4.944717097027827, 4.931828238653509, 4.9397122801261535, 4.939238964565516, 4.942425420925177, 4.956171765088166, 4.997866415819415, 4.986742308958825, 4.9843955711662025]"
1523,30440-30459,race-color,4,5.21949268721682,"[4.366298967782153, 4.347370979935985, 4.306448772134334, 4.326171908870414, 4.401531656004576, 4.6122070808055735, 4.781042759694528, 4.856771211841646, 4.93562025583989, 5.08005360195258, 5.093850538577233, 5.133615967816874, 5.113444427087471, 5.115738649203406, 5.1154347027116485, 5.097115479883081, 5.127801733241815, 5.191013325317488, 5.242960604251877, 5.21949268721682]"
1524,30460-30479,race-color,14,5.216487889023457,"[3.9711408632873955, 4.190803983176275, 4.183253522064732, 4.228500791076266, 4.253339895945021, 4.874276061973798, 5.0095794631203105, 5.026127056245042, 5.11501136814956, 5.159240234810227, 5.254280219132098, 5.2527850518640005, 5.263931605974429, 5.232572565114149, 5.25582312885591, 5.227502416726212, 5.2365205892467275, 5.230652507696292, 5.218459810532886, 5.216487889023457]"
1525,30480-30499,race-color,16,5.029537863486111,"[3.9711408632873955, 4.054736607154052, 4.084516866618673, 4.215220368799587, 4.162493639320537, 4.587584471163877, 4.7144427485276, 4.82650184992784, 4.793312586016456, 4.846581304527858, 4.878163192035123, 4.892658740220268, 4.923713701359417, 4.934232936895242, 4.948214172719826, 4.96207964906679, 4.984803570319399, 4.980917919948348, 4.995322676340192, 5.029537863486111]"
1526,30500-30519,race-color,15,4.9843955711662025,"[4.580148281356701, 4.496188593244563, 4.597295229350071, 4.634691768835454, 4.664709356627007, 4.82681542609991, 4.827668090802041, 4.84903920273952, 4.822212447276142, 4.875503624077279, 4.895221448746479, 4.944717097027827, 4.931828238653509, 4.9397122801261535, 4.939238964565516, 4.942425420925177, 4.956171765088166, 4.997866415819415, 4.986742308958825, 4.9843955711662025]"
1527,30520-30539,race-color,4,5.21949268721682,"[4.366298967782153, 4.347370979935985, 4.306448772134334, 4.326171908870414, 4.401531656004576, 4.6122070808055735, 4.781042759694528, 4.856771211841646, 4.93562025583989, 5.08005360195258, 5.093850538577233, 5.133615967816874, 5.113444427087471, 5.115738649203406, 5.1154347027116485, 5.097115479883081, 5.127801733241815, 5.191013325317488, 5.242960604251877, 5.21949268721682]"
1528,30540-30559,sexual-orientation,13,5.098238885094439,"[3.9711408632873955, 4.190803983176275, 4.183253522064732, 4.228500791076266, 4.253339895945021, 4.979082301251322, 5.116405908776297, 5.209721320369665, 5.158853669603737, 5.201197964893226, 5.192854515258698, 5.173873561613178, 5.181225141296119, 5.162500282582993, 5.129809313018162, 5.123675180821202, 5.097592940530029, 5.122135987406145, 5.127287817823207, 5.098238885094439]"
1529,30560-30579,sexual-orientation,16,5.120132723113643,"[4.115202091768645, 4.465518602859192, 4.424187294026056, 4.411463811277951, 4.468788415187328, 4.791268125549933, 4.91493233588853, 4.96931232998802, 4.940419640311265, 4.978056741502863, 5.002260975435462, 5.007252645522135, 5.045840436312714, 5.0486262506761355, 5.058863742470884, 5.070606665952256, 5.085458971530608, 5.079783653473727, 5.091779736457316, 5.120132723113643]"
1530,30580-30599,sexual-orientation,9,4.8686872282357525,"[4.606298888701354, 4.47998851007251, 4.567144251742569, 4.599358012999705, 4.622522820175701, 4.756379670410449, 4.748293023731053, 4.762121168264449, 4.732865686300652, 4.780130234326152, 4.798236905052387, 4.838439291669878, 4.822042369950525, 4.830153526376366, 4.829417099777199, 4.833263352890341, 4.84260179720426, 4.879650516654942, 4.870981112636625, 4.8686872282357525]"
1531,30600-30619,sexual-orientation,4,5.1027792429710095,"[4.398725113327069, 4.3582759398455755, 4.2898585139583485, 4.308791149255828, 4.3719559752240995, 4.556870013930126, 4.700152414160097, 4.767627176027911, 4.8427275389965905, 4.972968033323728, 4.98621161131673, 5.023706104208527, 5.0078544267623295, 5.012969949792411, 5.007782248368863, 4.995082663151137, 5.018436532033536, 5.079061556698492, 5.1220812309876225, 5.1027792429710095]"
1532,30620-30639,sexual-orientation,12,5.171767613820996,"[4.2461977277952645, 4.36913803433229, 4.342808552282547, 4.37049589423043, 4.382919093966519, 4.79450757801336, 4.995653970312824, 5.082023579508522, 5.170726561912834, 5.187686326374428, 5.16965549292493, 5.17668486907575, 5.1952290255448474, 5.171954392201505, 5.147580242365804, 5.154045243764617, 5.187716518123248, 5.158729434863908, 5.156882699145359, 5.171767613820996]"
1533,30640-30659,sexual-orientation,-1,4.9915364701065785,"[3.867806862637329, 3.747488265744539, 3.7285776026000192, 4.002812610229473, 3.978681321853858, 4.4184824751519844, 4.567760910245261, 4.694517629769795, 4.67708170015833, 4.742673268873779, 4.783325371613298, 4.806179316087477, 4.860736355690803, 4.875803100585151, 4.880060818383775, 4.914728578141434, 4.93908720688252, 4.937771927777999, 4.95640077377673, 4.9915364701065785]"
1534,30660-30679,sexual-orientation,9,4.975966075824744,"[4.676263300416702, 4.57449849960743, 4.66097000884275, 4.691787297180513, 4.716706034812555, 4.864274206153968, 4.861427671369757, 4.878959361877233, 4.8515579920840155, 4.900645108150609, 4.918710699033042, 4.964953310816843, 4.952333988311357, 4.959529717194263, 4.958554433694125, 4.961452962535956, 4.974144555693995, 4.986839695671912, 4.977598599681946, 4.975966075824744]"
1535,30680-30699,sexual-orientation,4,5.156290221854289,"[4.477177619613196, 4.433839219454453, 4.386582927752947, 4.32193124875026, 4.399493490418968, 4.5972293512930795, 4.758240271299735, 4.829487491460265, 4.905869950998881, 4.999083864858291, 5.014652329760126, 5.055120822250209, 5.038742212430566, 5.043960875634623, 5.046462601445533, 5.032121998883693, 5.063487188194644, 5.126107004388316, 5.177159391224502, 5.156290221854289]"
1536,30700-30719,socioeconomic,14,5.075630422817896,"[4.115202091768645, 4.282107313465604, 4.264313750024134, 4.299982877000949, 4.317935272268442, 4.838306168309878, 5.053027188271425, 5.097601345976555, 5.09989025991226, 5.080179291454248, 5.137673781157481, 5.133184326734301, 5.099227688775016, 5.071212433546376, 5.074357924299107, 5.159398556217605, 5.131945648514635, 5.107058967582971, 5.079290186606225, 5.075630422817896]"
1537,30720-30739,socioeconomic,16,5.121667986059343,"[3.9711408632873955, 4.172199221149153, 4.2580421191239815, 4.3446751501437, 4.482607388924693, 4.817779458679864, 4.908200648119129, 4.9919450874617315, 4.950176872856612, 4.987888409508478, 5.007980131572336, 5.014052774220909, 5.052590652078948, 5.055651351764491, 5.062803202383829, 5.07401351500783, 5.090039131461822, 5.082190054132034, 5.093645315190845, 5.121667986059343]"
1538,30740-30759,socioeconomic,9,4.708048282396093,"[4.506179080388922, 4.394624290164919, 4.495362520306136, 4.533737591295456, 4.561296970190009, 4.651298788130184, 4.623954099133114, 4.627149374313499, 4.587251354420247, 4.632624592030783, 4.6480082311910635, 4.688299670039598, 4.667862931213761, 4.674490060019689, 4.671694350944149, 4.674364922939913, 4.683138362069317, 4.721815011888628, 4.711561650971605, 4.708048282396093]"
1539,30760-30779,socioeconomic,15,5.021382009820141,"[4.088413688121126, 4.0966001108512735, 4.036844098652248, 4.066815038122048, 4.138382529877778, 4.350217067791625, 4.517683129401241, 4.599973191959433, 4.690226972218222, 4.838451254807727, 4.8592350077614554, 4.905614681091159, 4.893771972079303, 4.904066899424985, 4.902768235602638, 4.892954215875083, 4.921682175259041, 4.99014367157135, 5.039339873974697, 5.021382009820141]"
1540,30780-30799,socioeconomic,14,4.961961295648692,"[4.115202091768645, 4.282107313465604, 4.264313750024134, 4.299982877000949, 4.317935272268442, 4.712339688595998, 4.858949317996004, 4.892230264121692, 4.990854078211573, 5.064131099097337, 5.108822806448703, 5.119823939860364, 5.116385272163949, 5.070070977395664, 5.037841469431428, 5.01801530431937, 5.018827058159022, 5.009987974657282, 5.010845637872004, 4.961961295648692]"
1541,30800-30819,socioeconomic,16,5.034857744142387,"[4.115202091768645, 4.282107313465604, 4.3467788264012395, 4.2863637167486255, 4.236002427451134, 4.622780497133527, 4.708871680510635, 4.818966162933582, 4.79264046898339, 4.847263527617752, 4.8798397384357015, 4.896081454054332, 4.927661907756044, 4.939222573255783, 4.954259881340833, 4.968292695615923, 4.990287050041784, 4.987193681515675, 5.0017682589958765, 5.034857744142387]"
1542,30820-30839,socioeconomic,9,4.975966075824744,"[4.676263300416702, 4.57449849960743, 4.66097000884275, 4.691787297180513, 4.716706034812555, 4.864274206153968, 4.861427671369757, 4.878959361877233, 4.8515579920840155, 4.900645108150609, 4.918710699033042, 4.964953310816843, 4.952333988311357, 4.959529717194263, 4.958554433694125, 4.961452962535956, 4.974144555693995, 4.986839695671912, 4.977598599681945, 4.975966075824744]"
1543,30840-30859,socioeconomic,4,5.208047773449933,"[4.477177619613196, 4.433839219454453, 4.386582927752947, 4.400676485020829, 4.467456461747418, 4.658787034464228, 4.813347478539314, 4.880464894697404, 4.952519118725926, 5.085220521859549, 5.095897325818527, 5.131535478140008, 5.111363072472489, 5.112780733300517, 5.111895634454268, 5.094516127745003, 5.122856332016817, 5.182259605709118, 5.230680442367768, 5.208047773449933]"
1544,30860-30879,religion,14,5.016599558298558,"[4.115202091768645, 4.282107313465604, 4.264313750024134, 4.299982877000949, 4.317935272268442, 4.828071449059041, 4.970231180907213, 5.036454628858991, 5.071956879405109, 5.090514720500943, 5.143841662732533, 5.159403034342385, 5.097600647175772, 5.06450184851078, 5.043863416229797, 5.022191802000439, 5.056501356821033, 5.037210152488837, 5.042036904572541, 5.016599558298558]"
1545,30880-30899,religion,-1,5.056835037113563,"[3.9711408632873955, 4.0719364737243104, 4.178356436289173, 4.265642420550382, 4.220394650393825, 4.632940263171285, 4.751721481684375, 4.858145425746962, 4.821367715093204, 4.871097948856186, 4.900109543006449, 4.912522590734461, 4.95975803937855, 4.967420101778711, 4.963502641935806, 4.9945277252084255, 5.01518387690299, 5.009610431721739, 5.024400100421608, 5.056835037113563]"
1546,30900-30919,religion,15,4.9843955711662025,"[4.580148281356701, 4.496188593244563, 4.597295229350071, 4.634691768835454, 4.664709356627007, 4.82681542609991, 4.827668090802041, 4.84903920273952, 4.822212447276142, 4.875503624077279, 4.895221448746479, 4.944717097027827, 4.931828238653509, 4.9397122801261535, 4.939238964565516, 4.942425420925177, 4.956171765088166, 4.997866415819415, 4.986742308958825, 4.9843955711662025]"
1547,30920-30939,religion,4,5.21949268721682,"[4.366298967782153, 4.347370979935985, 4.306448772134334, 4.326171908870414, 4.401531656004576, 4.6122070808055735, 4.781042759694528, 4.856771211841646, 4.93562025583989, 5.08005360195258, 5.093850538577233, 5.133615967816874, 5.113444427087471, 5.115738649203406, 5.1154347027116485, 5.097115479883081, 5.127801733241815, 5.191013325317488, 5.242960604251877, 5.21949268721682]"
1548,30940-30959,religion,16,4.962567062520381,"[3.9711408632873955, 4.190803983176275, 4.183253522064732, 4.228500791076266, 4.253339895945021, 4.706324657464252, 4.861443008810372, 4.890129624069764, 4.8888970122968045, 4.922088385809268, 5.006433934859068, 5.076461904194136, 5.106167943529221, 5.082797171970906, 5.043990314557752, 5.0029283313978565, 5.0141904671863315, 5.026787798030915, 5.014124906824902, 4.962567062520381]"
1549,30960-30979,religion,-1,5.0807402497379295,"[3.9711408632873955, 3.7928958461336904, 3.992865881793435, 4.222508955446571, 4.174663952228915, 4.62411257784554, 4.751889374020111, 4.866064168296264, 4.8272963541621925, 4.878402249683298, 4.908553532843633, 4.920798987414517, 4.970082922532607, 4.977477516296628, 4.988200044171035, 5.020033262728102, 5.040810178418494, 5.034005539189623, 5.0480144835027865, 5.0807402497379295]"
1550,30980-30999,religion,15,4.9760827948031885,"[4.477177619613196, 4.413653162346738, 4.531624354676909, 4.5766252186346374, 4.612646839670534, 4.791920380686827, 4.79753910062237, 4.823666152506295, 4.79787936521247, 4.856036580121141, 4.877634176348485, 4.930784582609362, 4.917647594935663, 4.926301851200411, 4.926474286301502, 4.929964552992874, 4.944917163579775, 4.9902070513936465, 4.978144882848475, 4.9760827948031885]"
1551,31000-31019,religion,15,5.244844638251924,"[4.2461977277952645, 4.2557485543137705, 4.222350097286892, 4.248625604686155, 4.334121548606643, 4.567915333509233, 4.753614294968517, 4.839904815539209, 4.926774918834413, 5.085074216769041, 5.1029040986112415, 5.14769387195528, 5.127800180070951, 5.131222865473488, 5.131685987562501, 5.112313363684704, 5.1457190915382425, 5.213141021187407, 5.26911033614664, 5.244844638251924]"
1552,31020-31039,race-color,16,4.888379910409079,"[3.8111227973929624, 4.095267792849744, 4.100236679030336, 4.157190566084304, 4.190821743493052, 4.649102479811752, 4.763329540606027, 4.844241755757528, 4.877557427012442, 4.8502961232615664, 4.883046197382778, 4.84616803728123, 4.8899215953034565, 4.9070690013344285, 4.890249503206907, 4.8855984394004555, 4.8650924511618445, 4.868101066562333, 4.8421798222070835, 4.888379910409079]"
1553,31040-31059,race-color,5,4.976961928649892,"[3.8111227973929624, 4.095267792849744, 3.879125499155382, 3.8319571957379623, 3.8120916524446002, 4.353035733220656, 4.521856665003651, 4.665886858568848, 4.640553554731632, 4.710315629856662, 4.7539539275742255, 4.776992456163692, 4.8373225566028575, 4.852459499521825, 4.853582178526722, 4.893150012002067, 4.920561870855354, 4.918700455832502, 4.93841235771227, 4.976961928649892]"
1554,31060-31079,race-color,15,4.9760827948031885,"[4.477177619613196, 4.413653162346738, 4.531624354676909, 4.5766252186346374, 4.612646839670534, 4.791920380686827, 4.79753910062237, 4.823666152506295, 4.79787936521247, 4.856036580121141, 4.877634176348485, 4.930784582609362, 4.917647594935663, 4.926301851200411, 4.926474286301502, 4.929964552992874, 4.944917163579775, 4.9902070513936465, 4.978144882848475, 4.9760827948031885]"
1555,31080-31099,race-color,15,5.244844638251924,"[4.2461977277952645, 4.2557485543137705, 4.222350097286892, 4.248625604686155, 4.334121548606643, 4.567915333509233, 4.753614294968517, 4.839904815539209, 4.926774918834413, 5.085074216769041, 5.1029040986112415, 5.14769387195528, 5.127800180070951, 5.131222865473488, 5.131685987562501, 5.112313363684704, 5.1457190915382425, 5.213141021187407, 5.26911033614664, 5.244844638251924]"
1556,31100-31119,gender,12,5.007138926102246,"[3.8111227973929624, 4.095267792849744, 4.100236679030336, 4.157190566084304, 4.190821743493052, 4.781335292530451, 4.883435745716009, 5.003990381473606, 5.2015515729452355, 5.197481642709271, 5.156219766917991, 5.1341573614418206, 5.136030584120396, 5.1328862098157355, 5.0940070213842805, 5.068179226580343, 5.034371594714792, 5.034401366594574, 5.031624714083557, 5.007138926102246]"
1557,31120-31139,gender,19,5.054791473197843,"[4.2461977277952645, 4.36913803433229, 4.24929990918575, 4.1920313262272915, 4.3029766652389805, 4.6597135787417105, 4.769803886381558, 4.867161471680346, 4.83804500891283, 4.886816106734946, 4.915215605148863, 4.928851331954157, 4.97288387300306, 4.981492592581443, 4.993992106242959, 5.021117767188782, 5.039320702654178, 5.034206700379095, 5.048069641613724, 5.054791473197843]"
1558,31140-31159,gender,9,4.998165812960598,"[4.7663781546098525, 4.648961252276081, 4.7226125062871445, 4.747681583137989, 4.710450292630155, 4.851032868550533, 4.849277394532271, 4.867445051953383, 4.842650769821274, 4.8913796844525885, 4.910754561127409, 4.956636720232535, 4.9461396328447, 4.954494298993973, 4.954560277461525, 4.958594184242433, 4.971613562692375, 5.008661900859661, 5.000002061990206, 4.998165812960598]"
1559,31160-31179,gender,4,5.182737960033612,"[4.580148281356701, 4.515654190527058, 4.462993615610262, 4.472198472289532, 4.531622822439046, 4.706532925935355, 4.8488528941645885, 4.9088273742276325, 4.975051843421075, 5.097697892449075, 5.105912043680918, 5.13810205428667, 5.118097089421161, 5.118819473790236, 5.117484790822466, 5.100945209838356, 5.127242588268803, 5.1571922293107555, 5.203710484880232, 5.182737960033612]"
1560,31180-31199,race-color,12,5.153115719799081,"[4.2461977277952645, 4.36913803433229, 4.342808552282547, 4.37049589423043, 4.382919093966519, 4.831567799341831, 4.9852155149774955, 5.021164161527527, 5.092517750038921, 5.071964608305091, 5.064252904973009, 5.053228118982019, 5.042823259485138, 5.0604733587280695, 5.044783482505602, 5.152735957194079, 5.167471947872533, 5.1417085926661334, 5.145227791425673, 5.153115719799081]"
1561,31200-31219,race-color,-1,5.054836244446365,"[3.6311790803889217, 3.854455609238173, 3.8990671837387483, 3.9896435776843826, 3.955082142511823, 4.491082343675994, 4.638995248732178, 4.779980536740645, 4.74260787758827, 4.802913640812926, 4.840484258649402, 4.859941658625325, 4.918513009737311, 4.930761233603763, 4.943792667490606, 4.981960906427413, 5.007535779300886, 5.001890125908704, 5.0188980283640685, 5.054836244446365]"
1562,31220-31239,race-color,15,4.977851093756346,"[4.366298967782153, 4.3264692019548745, 4.464085537880326, 4.517975251775244, 4.561164423703976, 4.761003503853576, 4.772874305277004, 4.805007996067789, 4.7809718070983696, 4.844824415606663, 4.868575697375488, 4.9258470443845646, 4.912510253970837, 4.922028480155868, 4.923048797752692, 4.926852821256141, 4.943196762187315, 4.9927188787852135, 4.979508906828635, 4.977851093756346]"
1563,31240-31259,race-color,15,5.289676778425914,"[4.115202091768645, 4.158409698899946, 4.1340902435527, 4.168087542398747, 4.265740172596752, 4.527635355076501, 4.733559497958875, 4.833075524033143, 4.929557642371102, 5.1044973438732475, 5.127665155522596, 5.178696668390372, 5.159539843608796, 5.16445196874946, 5.165953132779405, 5.1454005497339175, 5.181991215770517, 5.254040547853395, 5.314624359775279, 5.289676778425914]"
1564,31260-31279,socioeconomic,14,4.949458090296194,"[3.6311790803889217, 3.9959264203055813, 4.016544490601339, 4.088131650208351, 4.133337050853157, 4.646234011589861, 4.930807520719191, 4.931477441767288, 4.953129269727681, 5.022804052797272, 5.045397874976872, 5.02239261001402, 5.023433967700939, 5.031208487800403, 5.061560962346341, 5.030244772795183, 5.0004243081579105, 4.945435396650164, 4.944999522480207, 4.949458090296194]"
1565,31280-31299,socioeconomic,19,5.068091861554889,"[4.115202091768645, 4.042611243985131, 4.064367664653593, 4.205521041804255, 4.15653148827461, 4.560859953163883, 4.72345157504334, 4.830084864571482, 4.807746611763529, 4.8634287761944375, 4.896104641616891, 4.909975081086163, 4.9562298091841885, 4.964946504012103, 4.978964447480125, 5.007700768670721, 5.026871981912998, 5.022413639375323, 5.036534595108322, 5.068091861554889]"
1566,31300-31319,socioeconomic,9,4.999854176561195,"[4.676263300416702, 4.57449849960743, 4.66097000884275, 4.691787297180513, 4.716706034812555, 4.864274206153968, 4.861427671369757, 4.878959361877233, 4.8515579920840155, 4.900645108150609, 4.918710699033042, 4.964953310816843, 4.952333988311357, 4.959529717194263, 4.958554433694125, 4.961452962535956, 4.974144555693995, 5.01274750156586, 5.0024035483848825, 4.999854176561195]"
1567,31320-31339,socioeconomic,4,5.208047773449933,"[4.477177619613196, 4.433839219454453, 4.386582927752947, 4.400676485020829, 4.467456461747418, 4.658787034464228, 4.813347478539314, 4.880464894697404, 4.952519118725926, 5.085220521859549, 5.095897325818527, 5.131535478140008, 5.111363072472489, 5.112780733300517, 5.111895634454268, 5.094516127745003, 5.122856332016817, 5.182259605709118, 5.230680442367768, 5.208047773449933]"
1568,31340-31359,gender,13,5.034302165740954,"[4.115202091768645, 4.282107313465604, 4.264313750024134, 4.299982877000949, 4.317935272268442, 4.7855503940520965, 5.050366538039863, 5.0571795994434945, 5.130526749765335, 5.155315608523461, 5.171165739958119, 5.128090356452481, 5.105054117290501, 5.078970011685821, 5.056596537900544, 5.071983888185091, 5.072724632902564, 5.020576096025783, 5.0321777847762785, 5.034302165740954]"
1569,31360-31379,gender,16,5.066097875323757,"[3.8111227973929624, 3.9287076568588115, 3.9646466934252955, 4.1067300476516015, 4.112381749604517, 4.540054694696879, 4.714043925565755, 4.828175006236524, 4.806865607177959, 4.865146543129992, 4.89964505384133, 4.9140227399053265, 4.962186694667001, 4.971024686998728, 4.984943390062103, 5.001119249871553, 5.022018268771652, 5.018005219452133, 5.032932793537053, 5.066097875323757]"
1570,31380-31399,gender,15,4.958619083019755,"[4.580148281356701, 4.496188593244563, 4.597295229350071, 4.634691768835454, 4.664709356627007, 4.82681542609991, 4.827668090802041, 4.84903920273952, 4.822212447276142, 4.875503624077279, 4.895221448746479, 4.944717097027827, 4.931828238653509, 4.9397122801261535, 4.939238964565516, 4.942425420925177, 4.956171765088166, 4.969913256828577, 4.9599817833871915, 4.958619083019755]"
1571,31400-31419,gender,4,5.19138298247091,"[4.366298967782153, 4.347370979935985, 4.306448772134334, 4.326171908870414, 4.401531656004576, 4.6122070808055735, 4.781042759694528, 4.856771211841646, 4.935620255839889, 5.03336608618299, 5.049764106607557, 5.092133726048124, 5.073987093131359, 5.078336552645854, 5.079865001628413, 5.063190803261768, 5.095529275574376, 5.160518970054756, 5.213909763428617, 5.19138298247091]"
1572,31420-31439,age,17,5.095192935610865,"[3.9711408632873955, 4.190803983176275, 4.183253522064732, 4.228500791076266, 4.253339895945021, 4.6354950142806635, 4.836679309203652, 5.022647672914429, 5.1216740935686005, 5.105098018666462, 5.153535612609592, 5.16163291261179, 5.141177724435298, 5.1714483781266924, 5.13410050243058, 5.107120600305477, 5.075666012590902, 5.083779317543563, 5.093708434325901, 5.095192935610865]"
1573,31440-31459,age,-1,4.991606746393452,"[3.186085434424891, 3.1123029276100636, 3.1571377835643237, 3.334752321371874, 3.6010722778804287, 4.237033038980978, 4.485807764037205, 4.64539743802779, 4.6290666591981555, 4.707923668990612, 4.757460577722217, 4.780503849289276, 4.843994192739225, 4.859085902446494, 4.878688637245826, 4.902312082754589, 4.931420023825902, 4.930605986037347, 4.95051851532176, 4.991606746393452]"
1574,31460-31479,age,15,4.977851093756346,"[4.366298967782153, 4.3264692019548745, 4.464085537880326, 4.517975251775244, 4.561164423703976, 4.761003503853576, 4.772874305277004, 4.805007996067789, 4.780971807098371, 4.844824415606663, 4.868575697375488, 4.9258470443845646, 4.912510253970837, 4.922028480155868, 4.923048797752692, 4.926852821256141, 4.943196762187315, 4.9927188787852135, 4.979508906828635, 4.977851093756346]"
1575,31480-31499,age,15,5.289676778425914,"[4.115202091768645, 4.158409698899946, 4.1340902435527, 4.168087542398747, 4.265740172596752, 4.527635355076501, 4.733559497958875, 4.833075524033142, 4.929557642371102, 5.1044973438732475, 5.127665155522596, 5.178696668390372, 5.159539843608796, 5.16445196874946, 5.165953132779405, 5.1454005497339175, 5.181991215770517, 5.254040547853395, 5.314624359775279, 5.289676778425914]"
1576,31500-31519,nationality,11,4.881000201825832,"[3.6311790803889217, 3.9959264203055813, 4.016544490601339, 4.088131650208351, 4.133337050853157, 4.844973796198684, 4.916384201440149, 5.018092858347534, 4.999700983866603, 4.980929338538396, 4.928482434573688, 4.933004600844031, 4.957315323977449, 4.921744229461881, 4.887578438567846, 4.855231105004921, 4.8853427785212675, 4.909199896699118, 4.886749691085349, 4.881000201825832]"
1577,31520-31539,nationality,5,5.038499005147587,"[3.9711408632873955, 4.190803983176275, 4.183253522064732, 4.195864279000523, 4.212523569414409, 4.624566956415361, 4.696178895115043, 4.813696137859768, 4.777436515850668, 4.829342468039676, 4.860493707996587, 4.878487083995327, 4.930041727070603, 4.9413651177089415, 4.953450774435481, 4.971779339579097, 4.994588178212688, 4.989174472518796, 5.005847421002161, 5.038499005147587]"
1578,31540-31559,nationality,15,4.984395571166203,"[4.580148281356701, 4.496188593244563, 4.597295229350071, 4.634691768835454, 4.664709356627007, 4.82681542609991, 4.827668090802041, 4.84903920273952, 4.822212447276142, 4.875503624077279, 4.895221448746479, 4.944717097027827, 4.931828238653509, 4.9397122801261535, 4.939238964565516, 4.942425420925177, 4.956171765088166, 4.997866415819415, 4.986742308958825, 4.984395571166203]"
1579,31560-31579,nationality,4,5.21949268721682,"[4.366298967782153, 4.347370979935985, 4.306448772134334, 4.326171908870414, 4.401531656004576, 4.6122070808055735, 4.781042759694528, 4.856771211841646, 4.935620255839889, 5.08005360195258, 5.093850538577233, 5.133615967816874, 5.113444427087471, 5.115738649203404, 5.1154347027116485, 5.097115479883081, 5.127801733241815, 5.191013325317488, 5.242960604251877, 5.21949268721682]"
1580,31580-31599,gender,15,5.0348342545027895,"[3.9711408632873955, 4.190803983176275, 4.183253522064732, 4.228500791076266, 4.253339895945021, 4.706324657464252, 4.819560125138274, 4.959799151426542, 4.957845964988814, 5.089484597080318, 5.0909783872312016, 5.154070101066944, 5.138932026723474, 5.084725821715109, 5.031700491665137, 5.026470247790191, 4.99771971799637, 5.022742271835888, 5.0095722803087614, 5.0348342545027895]"
1581,31600-31619,gender,7,4.119072076236659,"[3.8111227973929624, 3.825842200277801, 3.629607073171251, 3.785824851281464, 3.746648244644818, 3.7664047354165695, 3.726762303294623, 3.8903277063325796, 3.907424158830002, 3.9272029778263997, 3.907526554980044, 3.969953254402731, 3.9702707284170797, 4.0695063343238855, 4.089471166360894, 4.133071547525897, 4.132518089778108, 4.134739861092983, 4.1181328431220035, 4.119072076236659]"
1582,31620-31639,gender,13,4.9102758337245715,"[3.6311790803889217, 3.655757980250021, 3.500079278680303, 4.081009811297545, 4.0913225735011345, 4.5723340550267375, 4.611600683031909, 4.764105877356907, 4.758411745931447, 4.859304152315775, 4.848088801428897, 4.832224061102092, 4.793200519888507, 4.843928210007487, 4.8348647343753095, 4.87093908809004, 4.8589700237348845, 4.877418649350887, 4.8653372492392535, 4.9102758337245715]"
1583,31640-31659,gender,-1,4.882103980737162,"[4.366298967782153, 4.574372503676972, 4.371039725964408, 4.492395197952517, 4.435927615267241, 4.535525596246289, 4.512036045052713, 4.586280716270547, 4.57077133896059, 4.598146624225203, 4.577368284765245, 4.638115555882652, 4.636696357002418, 4.705953158239674, 4.707347472720619, 4.800634750077523, 4.8196070208182915, 4.862846746059469, 4.862758479692079, 4.882103980737162]"
1584,31660-31679,gender,9,4.726207955586233,"[4.366298967782153, 4.4520381922607735, 4.278929726750467, 4.396949173075058, 4.347418083636799, 4.581194642018679, 4.6010402237683765, 4.61677473980387, 4.590026315274977, 4.62646638422769, 4.608278129343229, 4.59892225738273, 4.568006945892342, 4.631190280045144, 4.6336702443926265, 4.663126811164478, 4.656871976071943, 4.717477499701882, 4.720430686044129, 4.726207955586233]"
1585,31680-31699,gender,13,4.472224381998837,"[3.8678068626373285, 4.234169685798721, 4.088412739037593, 4.157845268024653, 4.106908522480539, 4.17228993368699, 4.152327609490685, 4.242591520528823, 4.236468206847375, 4.356546172821314, 4.3738554863469234, 4.38067769357502, 4.364902241735098, 4.391399442985381, 4.383430463455834, 4.435063591272737, 4.440360054727244, 4.462322180765693, 4.457319905128455, 4.472224381998837]"
