,count,mean,std,min,25%,50%,75%,max
BERT_similarity,10849.0,0.9187515213475896,0.044704282692077955,0.3457582,0.9017832,0.9285457,0.94733804,0.9999999
LSA_similarity,10849.0,0.6764412077978347,0.1685435006742139,-0.0453609903585172,0.5614279081961926,0.6935521419506473,0.8125024189132207,1.0
LDA_similarity,10849.0,0.6735075470816845,0.2623872868291488,0.0002430086778771,0.5016483676838825,0.7419226570248907,0.8929095611704176,1.0000000000000002
