metric,used_threshold,fairness_bugs,total_cases,fail_rate,fail_rate_diff_from_mean
BERT_similarity,0.4,2,10849,0.01843487879067195,-24.590672921588695
BERT_similarity,0.5,8,10849,0.0737395151626878,-24.535368285216677
BERT_similarity,0.6,10,10849,0.09217439395335976,-24.516933406426006
BERT_similarity,0.8,232,10849,2.1384459397179465,-22.47066186066142
BERT_similarity,0.9,2587,10849,23.84551571573417,-0.7635920846451967
LDA_similarity,0.1,390,10849,3.5948013641810306,-21.014306436198336
LDA_similarity,0.2,778,10849,7.171167849571389,-17.437939950807976
LDA_similarity,0.4,1937,10849,17.854180108765785,-6.754927691613581
LDA_similarity,0.5,2691,10849,24.80412941284911,0.1950216124697448
LDA_similarity,0.6,3644,10849,33.588349156604295,8.979241356224929
LDA_similarity,0.8,6274,10849,57.8302147663379,33.22110696595854
LDA_similarity,0.9,8289,10849,76.4033551479399,51.79424734756054
LSA_similarity,0.1,8,10849,0.0737395151626878,-24.535368285216677
LSA_similarity,0.2,52,10849,0.47930684855747074,-24.129800951821895
LSA_similarity,0.4,717,10849,6.608904046455895,-18.000203753923472
LSA_similarity,0.5,1748,10849,16.112084063047284,-8.497023737332082
LSA_similarity,0.6,3464,10849,31.92921006544382,7.3201022650644525
LSA_similarity,0.8,7854,10849,72.39376901096875,47.78466121058939
LSA_similarity,0.9,10042,10849,92.56152640796387,67.9524186075845
