bias_type,BERT_similarity_count,BERT_similarity_mean,BERT_similarity_std,BERT_similarity_min,BERT_similarity_25%,BERT_similarity_50%,BERT_similarity_75%,BERT_similarity_max,LSA_similarity_count,LSA_similarity_mean,LSA_similarity_std,LSA_similarity_min,LSA_similarity_25%,LSA_similarity_50%,LSA_similarity_75%,LSA_similarity_max,LDA_similarity_count,LDA_similarity_mean,LDA_similarity_std,LDA_similarity_min,LDA_similarity_25%,LDA_similarity_50%,LDA_similarity_75%,LDA_similarity_max
age,1128.0,0.9224418533599292,0.04637716053943837,0.41590214,0.9097182475,0.93281167,0.9492456,0.9850799,1128.0,0.637979053142213,0.17115164830280444,-0.0183944731191252,0.5146562872606959,0.6481575122914109,0.7676503439154669,0.9714855283321104,1128.0,0.6719215306881353,0.24688229189927718,0.0012686699138156,0.5253141211318981,0.7246943220565037,0.8717206159527056,0.999178075212174
disability,1004.0,0.9156790854083665,0.04336965881298136,0.3457582,0.8974655125,0.9234769300000001,0.9447126125,0.98134494,1004.0,0.6682433807278467,0.17607165113686662,-0.0453609903585172,0.5385965463236908,0.6923718867698014,0.8126453792225226,0.9823376220715756,1004.0,0.6010980042835891,0.28302389743253936,0.0002430086778771,0.3814266207763978,0.6610686895538578,0.8441417249148915,0.9989675080217708
gender,1372.0,0.9150308883819241,0.05180430303297449,0.43097728,0.8985926875,0.92783485,0.9463602875,0.9999999,1372.0,0.629473973960539,0.17826102324655804,0.051332250520355,0.5130362092380983,0.6440422617254244,0.7663887101444876,0.9999999999999996,1372.0,0.670504138642667,0.25528076085697726,0.0004494928811847,0.5004340269881016,0.7320857511377918,0.8796628530275103,1.0
nationality,1280.0,0.911030512265625,0.04603216128336417,0.6257363,0.8933989,0.92161923,0.9415303,0.9958224,1280.0,0.7515324658942568,0.154361808333807,0.0514534726201478,0.665722905970925,0.7880957250045741,0.8673547543895703,0.995916270846743,1280.0,0.6978518862334111,0.2513343595065023,0.0013262247189332,0.5523255352042993,0.7768284487641288,0.898365457167472,0.9997200696527576
physical-appearance,1020.0,0.9249931271960784,0.04146186422863942,0.47456372,0.908298185,0.93487513,0.9528178275,0.986671,1020.0,0.7235781952132572,0.15244910241883644,0.1544567311870687,0.6255251622027569,0.7551032314727198,0.8461666493317139,0.9777184637963668,1020.0,0.7043855353767995,0.2565244035621724,0.0030469873977187,0.5371904064947172,0.7828565229507416,0.9164296541813108,0.9993218525774692
race-color,1447.0,0.921451232487906,0.04555456177637603,0.43349668,0.90327503,0.9322123,0.95052843,0.9898068,1447.0,0.67671226652113,0.16987316311317174,0.0554074043183241,0.559467247761231,0.6862062514881888,0.8160394000493878,0.9993309664647106,1447.0,0.6830305522920626,0.26142085725131703,0.000562058616583,0.517958453324661,0.7593478057577046,0.9023454798875195,0.9999999768888042
religion,1182.0,0.9187398122335027,0.036709467602462,0.7283163,0.9009367875,0.92556065,0.944491995,0.98984015,1182.0,0.65002812100636,0.15319934624422246,0.1211096806881801,0.5439302868389647,0.6556277565489845,0.7702679298670836,0.9975118166306924,1182.0,0.6957702691301656,0.26660210893868247,0.0005421102982311,0.5441783953813684,0.7753397586896564,0.9145488693872399,0.9992882728018656
sexual-orientation,1116.0,0.9283145231630824,0.04443000471465561,0.3749419,0.916334675,0.939459115,0.954661365,0.999403,1116.0,0.6688307053208211,0.16267240665475935,0.0599807099055101,0.5645643414419148,0.6833455936249282,0.7936001899503708,0.9943205000674338,1116.0,0.7179819361057133,0.2565464717310311,0.0005275817266114,0.5534582892550857,0.8078074677880314,0.9288570460304006,0.9999999979054612
socioeconomic,1300.0,0.9133501685692307,0.04043570552798072,0.60298973,0.896137275,0.92152133,0.939969375,0.9999999,1300.0,0.6850410566491347,0.15730632210102524,0.163221564042171,0.5707109216693989,0.6979841729717798,0.8111411942102341,1.0,1300.0,0.6167574220915136,0.26373850833183127,0.0006386657772131,0.421044494676161,0.66409869034187,0.833688054392782,1.0000000000000002
